"Participant","Date","Difficulty","TotalScore","Flight","Bonus","Mine","Fortress","NumberofBonus","NumberofMine","Bonus_Prct","Mine_Prct","FortressShot","NumberOfShots","NumberOfActions"
"145","2023-04-19_11-07-05","multitask",-770,-1630,100,510,250,14,17,14.2857142857143,64.7058823529412,25,81,285
"145","2023-04-19_11-10-25","monotask",-1485,-1985,0,0,500,0,0,NA,NA,31,79,238
"145","2023-04-19_11-13-35","multitask",-2025,-2535,100,160,250,14,14,21.4285714285714,35.7142857142857,21,83,259
"145","2023-04-19_11-16-51","monotask",-1650,-2150,0,0,500,0,0,NA,NA,42,98,264
"145","2023-04-19_11-20-22","multitask",-1100,-1740,-100,490,250,11,16,27.2727272727273,68.75,25,93,285
"145","2023-04-19_11-23-42","monotask",-625,-1125,0,0,500,0,0,NA,NA,37,99,238
"145","2023-04-19_11-27-02","multitask",-950,-1850,150,500,250,12,18,25,66.6666666666667,24,88,263
"146","2023-04-21_11-44-10","monotask",2000,0,0,0,2000,0,0,NA,NA,119,295,554
"146","2023-04-21_11-47-36","multitask",1930,-120,50,1000,1000,10,22,50,86.3636363636364,59,213,555
"146","2023-04-21_11-51-02","monotask",2200,-50,0,0,2250,0,0,NA,NA,137,332,598
"146","2023-04-21_11-54-09","multitask",2010,-140,250,900,1000,9,21,66.6666666666667,90.4761904761905,62,215,498
"146","2023-04-21_11-57-28","monotask",2750,0,0,0,2750,0,0,NA,NA,165,369,586
"146","2023-04-21_12-00-39","multitask",2115,-485,400,700,1500,15,20,46.6666666666667,75,86,249,533
"146","2023-04-21_12-04-08","monotask",2680,-70,0,0,2750,0,0,NA,NA,175,360,573
"146","2023-04-21_12-07-15","multitask",1940,-100,0,790,1250,16,20,31.25,80,78,225,529
"146","2023-04-21_12-10-48","monotask",3250,0,0,0,3250,0,0,NA,NA,193,345,530
"146","2023-04-21_12-13-56","multitask",1785,-155,300,640,1000,13,19,46.1538461538462,78.9473684210526,65,201,488
"147","2023-04-21_18-29-38","monotask",930,-70,0,0,1000,0,0,NA,NA,58,83,259
"147","2023-04-21_18-33-36","multitask",1290,-420,350,860,500,11,19,45.4545454545455,84.2105263157895,32,62,243
"147","2023-04-21_18-37-04","monotask",1630,-120,0,0,1750,0,0,NA,NA,92,128,304
"147","2023-04-21_18-40-27","multitask",1400,-590,750,740,500,15,19,60,73.6842105263158,36,72,266
"147","2023-04-21_18-43-59","monotask",2930,-70,0,0,3000,0,0,NA,NA,163,211,435
"147","2023-04-21_18-47-24","multitask",1080,-880,350,610,1000,13,19,38.4615384615385,63.1578947368421,56,106,322
"147","2023-04-21_18-50-47","monotask",1565,-685,0,0,2250,0,0,NA,NA,119,175,421
"147","2023-04-21_18-54-06","multitask",1575,-715,400,890,1000,12,20,41.6666666666667,80,54,101,322
"147","2023-04-21_18-57-33","monotask",3080,-420,0,0,3500,0,0,NA,NA,203,273,552
"147","2023-04-21_19-01-01","multitask",2255,-255,600,910,1000,9,19,77.7777777777778,89.4736842105263,65,109,333
"148","2023-04-24_15-59-54","monotask",310,-440,0,0,750,0,0,NA,NA,41,101,305
"148","2023-04-24_16-03-33","multitask",-690,-800,-50,-90,250,12,16,8.33333333333333,25,17,64,268
"148","2023-04-24_16-06-51","monotask",1215,-35,0,0,1250,0,0,NA,NA,76,137,279
"148","2023-04-24_16-10-01","multitask",-185,-1005,100,470,250,11,18,18.1818181818182,61.1111111111111,21,66,261
"148","2023-04-24_16-13-12","monotask",1080,-170,0,0,1250,0,0,NA,NA,72,147,320
"148","2023-04-24_16-16-22","multitask",380,-650,-100,630,500,10,20,20,65,36,89,266
"148","2023-04-24_16-22-54","monotask",1980,-520,0,0,2500,0,0,NA,NA,137,206,353
"148","2023-04-24_16-26-57","multitask",1470,-150,200,920,500,11,21,45.4545454545455,80.9523809523809,38,94,268
"148","2023-04-24_16-30-06","monotask",1350,-650,0,0,2000,0,0,NA,NA,113,174,317
"148","2023-04-24_16-33-12","multitask",710,-770,200,780,500,12,20,58.3333333333333,75,34,80,277
"149","2023-04-25_17-00-54","monotask",-1975,-2475,0,0,500,0,0,NA,NA,31,89,298
"149","2023-04-25_17-05-15","multitask",-1740,-1890,0,-100,250,14,16,7.14285714285714,18.75,19,76,245
"149","2023-04-25_17-09-34","monotask",-300,-800,0,0,500,0,0,NA,NA,38,100,347
"149","2023-04-25_17-13-10","multitask",-1370,-2430,100,460,500,12,17,16.6666666666667,58.8235294117647,28,76,269
"149","2023-04-25_17-16-54","monotask",-1470,-2220,0,0,750,0,0,NA,NA,48,109,323
"149","2023-04-25_17-20-12","multitask",-2820,-2870,-100,-100,250,12,15,8.33333333333333,13.3333333333333,26,80,259
"149","2023-04-25_17-23-56","monotask",-1165,-1665,0,0,500,0,0,NA,NA,37,86,308
"149","2023-04-25_17-27-10","multitask",-1640,-2000,0,110,250,13,16,15.3846153846154,37.5,25,83,287
"149","2023-04-25_17-31-23","monotask",-1415,-2165,0,0,750,0,0,NA,NA,49,102,318
"149","2023-04-25_17-34-34","multitask",-1330,-2390,100,460,500,15,15,13.3333333333333,66.6666666666667,30,92,305
"150","2023-04-26_15-32-44","monotask",2260,-740,0,0,3000,0,0,NA,NA,146,244,652
"150","2023-04-26_15-36-01","multitask",1850,-300,300,850,1000,10,20,60,85,54,156,531
"150","2023-04-26_15-39-16","monotask",3630,-370,0,0,4000,0,0,NA,NA,199,294,623
"150","2023-04-26_15-42-21","multitask",1195,-855,150,900,1000,11,20,45.4545454545455,85,59,169,560
"150","2023-04-26_15-45-29","monotask",1945,-1055,0,0,3000,0,0,NA,NA,158,246,593
"150","2023-04-26_15-48-35","multitask",2765,-735,550,950,2000,14,21,64.2857142857143,85.7142857142857,104,209,563
"150","2023-04-26_15-51-47","monotask",2225,-1525,0,0,3750,0,0,NA,NA,185,291,687
"150","2023-04-26_15-54-54","multitask",2005,-755,350,910,1500,8,21,87.5,80.9523809523809,81,178,550
"150","2023-04-26_15-58-02","monotask",3015,-985,0,0,4000,0,0,NA,NA,200,310,665
"150","2023-04-26_16-01-07","multitask",1290,-1570,700,910,1250,18,23,72.2222222222222,73.9130434782609,68,160,524
"151","2023-04-27_17-13-39","monotask",950,-50,0,0,1000,0,0,NA,NA,57,109,280
"151","2023-04-27_17-18-01","multitask",770,-560,550,530,250,14,18,50,66.6666666666667,31,72,308
"151","2023-04-27_17-25-41","monotask",815,-185,0,0,1000,0,0,NA,NA,59,126,314
"151","2023-04-27_17-28-59","multitask",2005,-85,800,790,500,15,20,60,85,28,93,304
"151","2023-04-27_17-32-36","monotask",965,-35,0,0,1000,0,0,NA,NA,69,135,335
"151","2023-04-27_17-35-51","multitask",1615,-385,400,850,750,10,19,60,84.2105263157895,37,91,313
"151","2023-04-27_17-39-39","monotask",710,-290,0,0,1000,0,0,NA,NA,70,133,327
